appid,name,required age,publisher,genre,price,release date,system
2899580,3番線 | Sanbansen,12,MFC STUDIO,Action,1699,"5 Jun, 2024",nintendo
2898690,Emoji Survival,l,PowerApps,Action,699,"22 Apr, 2024",nintendo
2898750,BobasQuest,l,Gamesforgames,Action,3299,"28 Apr, 2024",pc
2898950,Qualle Party - Bonus Maps,l,Novixx Systems,Action,699,"20 Mar, 2024",nintendo
2899020,Political Punchers: 2024 Arena,12,Gordo Gamers,Action,2049,"9 Apr, 2024",playstation
2899040,Midnight Lane,14,Blossom Legion,Action,1379,"9 May, 2024",playstation
2898190,Neko Girls Puzzle,12,17Studio,Casual,1049,"5 Apr, 2024",nintendo
2898230,RefleXion,14,Lucerna Studio,Indie,1049,"3 May, 2024",nintendo
2898290,"""Reimu Hakurei"" Winter Costume (Touhou Genso Wanderer -FORESIGHT-)",12,Phoenixx Inc.,Adventure,1049,"14 May, 2024",nintendo
2897700,Arizona Sunshine® Remake,18,Vertigo Games,Action,10795,"17 Oct, 2024",nintendo
2897720,Star Legends,l,Star Legends,Adventure,1699,"5 Apr, 2024",pc
2897760,極品采花郎,18,蠑螈,RPG,5999,"2 Aug, 2024",pc
2897800,Jurassic World Evolution 2: Park Managers' Collection Pack,10,Frontier Developments,Simulation,1327,"16 May, 2024",playstation
2897840,Explorer: Adventure Awaits,l,KrakenForge,Adventure,2649,"28 Apr, 2024",playstation
2897960,Block Man Adventures,l,sprise,Casual,349,"16 Apr, 2024",playstation
2898130,Intimate Abode,18,Buu Pink,Adventure,2000,"30 May, 2024",nintendo
2897180,ジスル村の一揆,18,072 Project,Action,809,"Sep 13, 2024",nintendo
2897270,Black hole Escape,l,Teleportsoft,Casual,2049,"8 Apr, 2024",playstation
2897320,Cyberlinxxx- Artworks,18,Baka_Energy_studios,Indie,2649,"11 Apr, 2024",playstation
2897450,The Anomalous Hour,14,Gambir Studio,Adventure,1049,"21 Apr, 2024",nintendo
2897490,Janko,10,Janko Devs,Adventure,1699,"23 Jun, 2024",nintendo
2897510,ココロシャッフル - Spirit Swap -,16,"CyberStep, Inc.",Adventure,1999,"Apr 17, 2024",pc
2897630,다이아몬드 6000개,l,"CFK Co., Ltd.",Action,2049,"3 Apr, 2024",pc
2897650,다이아몬드 12000개,l,"CFK Co., Ltd.",Action,2649,"3 Apr, 2024",pc
2897670,트레이너 버프,l,"CFK Co., Ltd.",Action,699,"3 Apr, 2024",pc
2896950,TrapTrekUltimateOtherMe,l,KuboushiGames,Action,3000,"21 May, 2024",pc
2896980,姑苏城中那些猫,l,Catnip studio,Casual,349,"16 Apr, 2024",playstation
2897010,Deck Remover,l,KathGaan,Casual,349,"30 Apr, 2024",pc
2897170,鬪伐,12,072 Project,Action,2115,"13 Sep, 2024",nintendo
2896210,Hélène est dans mon Ventre.,18,Capucine Mahieux,Casual,349,"5 May, 2024",pc
2896320,Warrior Lords,10,Future Minimalism,Action,1699,"11 Apr, 2024",nintendo
2896530,MegaMegaEggs,l,NoraPerikaProject,Action,3849,"19 Jul, 2024",playstation
2895790,SOUTH PARK: SNOW DAY! - Asspen Pack,16,THQ Nordic,Action,1049,"23 May, 2024",playstation
2895810,Owner,l,giacozama,Adventure,1699,"7 Apr, 2024",nintendo
2896000,Escape the Kreegan,l,Entropy Is Software Development,Action,1699,"26 May, 2024",playstation
2896040,Odd Sequence,l,Undervolta,Action,4199,"22 Apr, 2024",playstation
2896110,GLOW,l,Frank Hampus Weslien,Action,1049,"17 Apr, 2024",nintendo
2895180,TypeSpell Journey,l,IFIDEV,Casual,1699,"5 Apr, 2024",playstation
2895270,Hurricane,l,Hurricane,Racing,10199,"2 Apr, 2024",pc
2895340,Apartment No 129,14,Batuhan Gündüz,Action,1854,"2 Aug, 2024",pc
2895360,Moni Mons,l,Dincicode,Casual,1379,"5 Sep, 2024",playstation
2895560,Harlot's Diary,18,Veratrum,Casual,1049,"23 Aug, 2024",playstation
2894730,Alphageddon,l,Andre Lima,Action,749,"22 Apr, 2024",nintendo
2892830,幻想小镇,l,Magic & Potion,Adventure,499,"Jun 5, 2024",nintendo
2892170,House of Cards: TD,l,Bright Light Games,Adventure,499,"Jul 17, 2024",pc
2889980,The Reeve,14,Gray Muscat,Adventure,399,"May 1, 2024",pc
2889270,Minesweeper Extended,l,Hocz,Casual,199,"Apr 22, 2024",pc
2889120,Absolute Fear -AOONI- / 最恐 -青鬼-,14,"LiTMUS Co., Ltd.",Action,999,"Apr 25, 2024",pc
2887720,Human Upgrade Labs,14,Augustinas Raginskis,Indie,499,"Apr 25, 2024",pc
appid,name,required age,publisher,genre,price,release date,system
2387940,Call of Duty®: Modern Warfare® II - Demon Deer: Pro Pack,18,Activision,Action,1679,"19 May, 2023",playstation
2383990,Ghostbusters: Spirits Unleashed Ecto Edition,10,IllFonic Publishing,Action,2599,"19 Oct, 2023",nintendo
2380740,RimWorld - Anomaly,16,Ludeon Studios,Indie,2999,"11 Apr, 2024",nintendo
2380030,Stellaris: Galactic Paragons,10,Paradox Interactive,Simulation,1499,"May 9, 2023",playstation
2379390,Tom Clancy’s Rainbow Six Extraction,16,Ubisoft,Action,4999,"15 Jun, 2023",playstation
2378430,Revhead - Night Vision Pack,l,PlayWay S.A.,Action,1379,"21 Apr, 2023",pc
2378480,Gallows Hill,l,RosemaryHouse,Casual,699,"11 Oct, 2023",pc
2377860,Princess of Mekana,18,Noxurtica,Indie,4699,"20 Apr, 2023",nintendo
2377980,Dye the Bunny,14,Vidas Salavejus,Casual,1000,"13 Apr, 2023",nintendo
2378070,EARTH DEFENSE FORCE 6 - Ranger Boarding Weapons: Free Bike No. 6,l,D3PUBLISHER,Action,1049,"25 Jul, 2024",playstation
2378071,EARTH DEFENSE FORCE 6 - Air Raider Boarding Weapons: Eros No. 6,l,D3PUBLISHER,Action,1049,"25 Jul, 2024",pc
2378073,EARTH DEFENSE FORCE 6 - Air Raider Boarding Weapons: Naegling No. 6,l,D3PUBLISHER,Action,1049,"25 Jul, 2024",nintendo
2378075,EARTH DEFENSE FORCE 6 - Ranger Weapons: Broken MR98 Fang,l,D3PUBLISHER,Action,699,"25 Jul, 2024",nintendo
2378078,EARTH DEFENSE FORCE 6 - Wing Diver Independently Operated Equipment: Handy Saber Type 0,l,D3PUBLISHER,Action,699,"25 Jul, 2024",nintendo
2378080,EARTH DEFENSE FORCE 6 - Fencer Weapons:  'OneeChanbara ORIGIN' illustrated 'Disguised Body Pillow'.,l,D3PUBLISHER,Action,699,"25 Jul, 2024",nintendo
2378081,EARTH DEFENSE FORCE 6 - Fencer Weapons: Power Blade Zero,l,D3PUBLISHER,Action,699,"25 Jul, 2024",nintendo
appid,name,required age,publisher,genre,price,release date,system
2906930,小石冒险 Koishi Adventure⁓,12,EHKSTD,Action,199,"Apr 19, 2024",playstation
2906300,Bison Battle Machine,14,Jl Apps,Action,1359,"8 May, 2024",nintendo
2906360,SpectroPhobia,10,NDBdeveloper,Adventure,2649,"9 Apr, 2024",pc
2906390,Le monde d'orathos,l,Erouest Production,RPG,2649,"22 Apr, 2024",pc
2906510,Monsters and Sprites,10,Sinacs,Action,279,"16 May, 2024",pc
2906580,Mazelit - Source Code,l,Something Pink,Casual,1049,"7 Apr, 2024",nintendo
2906690,德州边境守卫战,12,7miao game,Action,699,"9 May, 2024",nintendo
2905930,Blast in the Past,10,A Mil To One Games,Indie,2649,"15 Apr, 2024",nintendo
2905960,Fall Words,l,Fall Words,Casual,1699,"7 May, 2024",playstation
2906030,Monster United,l,追风的鱼,Casual,1049,"22 Apr, 2024",pc
2906140,Bluff with Ash,16,Conv Studio,Action,1699,"2 Jun, 2024",nintendo
2906160,Mango 64,l,SpectrumStudios,Action,1699,"8 Jul, 2024",pc
2906170,Fetish Club,18,SinVR,Casual,7399,"30 May, 2024",pc
2905240,Dig a Road,l,SuperJoy Games,Casual,699,"6 May, 2024",pc
2905290,Easy Breezy Drive,l,Lunar Solitude,Adventure,1331,"31 May, 2024",nintendo
2905360,Oh No! I Died and Woke Up a Greek God!,14,Bixie Boots,Casual,1699,"22 Apr, 2024",playstation
2905370,StreamAnimations,l,computer-knopf,Animation & Modeling,2649,"17 Apr, 2024",nintendo
2905410,RPG Maker MZ - Diagonal Sprite Generator,l,Gotcha Gotcha Games,RPG,3579,"10 Apr, 2024",playstation
2905420,RPG Maker MZ - RETRO SOUND MUSIC PACK Vol.01,l,Gotcha Gotcha Games,RPG,2999,"10 Apr, 2024",playstation
2905430,RPG Maker MZ - NEONPIXEL - Mega Flying World,l,Gotcha Gotcha Games,RPG,4449,"10 Apr, 2024",nintendo
2905440,RPG Maker MZ - Chiptune 8bit BGM Pack,l,Gotcha Gotcha Games,RPG,5499,"10 Apr, 2024",nintendo
2905450,RPG Maker MZ - Ax Angel Studios - Shattered Silence,l,Gotcha Gotcha Games,RPG,4199,"10 Apr, 2024",playstation
